1,1,10
2,2,9
3,3,8
4,4,7
5,5,6
6,10,6
7,7,5
8,8,4
9,9,3
10,1,2
11,2,10
12,3,1
13,4,9
14,5,8
15,6,7
16,10,7
17,8,6
18,9,5
19,1,4
20,2,3
21,3,10
22,4,2
23,5,1
24,6,9
25,7,8
26,10,8
27,9,7
28,1,6
29,2,5
30,3,4
31,4,10
32,5,3
33,6,2
34,7,1
35,8,9
36,10,9
37,1,8
38,2,7
39,3,6
40,4,5
41,5,10
42,6,4
43,7,3
44,8,2
45,9,1
46,10,1
47,9,2
48,8,3
49,7,4
50,6,5
51,6,10
52,5,7
53,4,8
54,3,9
55,2,1
56,10,2
57,1,3
58,9,4
59,8,5
60,7,6
61,7,10
62,6,8
63,5,9
64,4,1
65,3,2
66,10,3
67,2,4
68,1,5
69,9,6
70,8,7
71,8,10
72,7,9
73,6,1
74,5,2
75,4,3
76,10,4
77,3,5
78,2,6
79,1,7
80,9,8
81,9,10
82,8,1
83,7,2
84,6,3
85,5,4
86,10,5
87,4,6
88,3,7
89,2,8
90,1,9
