1,1,16
2,2,15
3,3,14
4,4,13
5,5,12
6,6,11
7,7,10
8,8,9
9,16,9
10,10,8
11,11,7
12,12,6
13,13,5
14,14,4
15,15,3
16,1,2
17,2,16
18,3,1
19,4,15
20,5,14
21,6,13
22,7,12
23,8,11
24,9,10
25,16,10
26,11,9
27,12,8
28,13,7
29,14,6
30,15,5
31,1,4
32,2,3
33,3,16
34,4,2
35,5,1
36,6,15
37,7,14
38,8,13
39,9,12
40,10,11
41,16,11
42,12,10
43,13,9
44,14,8
45,15,7
46,1,6
47,2,5
48,3,4
49,4,16
50,5,3
51,6,2
52,7,1
53,8,15
54,9,14
55,10,13
56,11,12
57,16,12
58,13,11
59,14,10
60,15,9
61,1,8
62,2,7
63,3,6
64,4,5
65,5,16
66,6,4
67,7,3
68,8,2
69,9,1
70,10,15
71,11,14
72,12,13
73,16,13
74,14,12
75,15,11
76,1,10
77,2,9
78,3,8
79,4,7
80,5,6
81,6,16
82,7,5
83,8,4
84,9,3
85,10,2
86,11,1
87,12,15
88,13,14
89,16,14
90,15,13
91,1,12
92,2,11
93,3,10
94,4,9
95,5,8
96,6,7
97,7,16
98,8,6
99,9,5
100,10,4
101,11,3
102,12,2
103,13,1
104,14,15
105,16,15
106,1,14
107,2,13
108,3,12
109,4,11
110,5,10
111,6,9
112,7,8
113,8,16
114,9,7
115,10,6
116,11,5
117,12,4
118,13,3
119,14,2
120,15,1
121,16,1
122,15,2
123,14,3
124,13,4
125,12,5
126,11,6
127,10,7
128,9,8
129,9,16
130,8,10
131,7,11
132,6,12
133,5,13
134,4,14
135,3,15
136,2,1
137,16,2
138,1,3
139,15,4
140,14,5
141,13,6
142,12,7
143,11,8
144,10,9
145,10,16
146,9,11
147,8,12
148,7,13
149,6,14
150,5,15
151,4,1
152,3,2
153,16,3
154,2,4
155,1,5
156,15,6
157,14,7
158,13,8
159,12,9
160,11,10
161,11,16
162,10,12
163,9,13
164,8,14
165,7,15
166,6,1
167,5,2
168,4,3
169,16,4
170,3,5
171,2,6
172,1,7
173,15,8
174,14,9
175,13,10
176,12,11
177,12,16
178,11,13
179,10,14
180,9,15
181,8,1
182,7,2
183,6,3
184,5,4
185,16,5
186,4,6
187,3,7
188,2,8
189,1,9
190,15,10
191,14,11
192,13,12
193,13,16
194,12,14
195,11,15
196,10,1
197,9,2
198,8,3
199,7,4
200,6,5
201,16,6
202,5,7
203,4,8
204,3,9
205,2,10
206,1,11
207,15,12
208,14,13
209,14,16
210,13,15
211,12,1
212,11,2
213,10,3
214,9,4
215,8,5
216,7,6
217,16,7
218,6,8
219,5,9
220,4,10
221,3,11
222,2,12
223,1,13
224,15,14
225,15,16
226,14,1
227,13,2
228,12,3
229,11,4
230,10,5
231,9,6
232,8,7
233,16,8
234,7,9
235,6,10
236,5,11
237,4,12
238,3,13
239,2,14
240,1,15
